server_subject	rust
client_subject	rust (raw probe, one held connection per attempt)
documented_global_bound	16
documented_per_principal_bound	4
per_principal_admitted	4
per_principal_refusal_attempt	5
per_principal_refusal_class	post-auth refusal (connection closed after handshake): APPLICATION_CLOSE code=0x204 reason="LIMIT_EXCEEDED"
global_admitted_total	16
global_refusal_principal	dave
per_principal_refusals_before_global	2
global_refusal_class	post-auth refusal (connection closed after handshake): APPLICATION_CLOSE code=0x204 reason="LIMIT_EXCEEDED"
recovery_after_close	held on attempt 1
incomplete_handshake_accounting	named gap: not observable through the quinn client (handshakes complete atomically)
