server_subject	rust
client_subject	java
alpn	pipestream/2
case_c_within_batch	client-side refusal (transcript recorded)
case_c_across_batch	CONFLICT: CONFLICT: authority refused: membership is sealed or IDs did not increase
case_d_batch_accepted	accepted 100 entities; receipt declared=102; funding loop accepted up to 252 declared
case_d_batch_refused	declare [253..=302] (50 entities) refuses LIMIT_EXCEEDED: cumulative completion funding cap; actual bound recorded (252 declared before refusal)
case_a_empty_no_seal	java CLI requires --entities; empty batch not expressible (named gap)
case_b_empty_seal	not expressible on the java CLI (--entities required); named gap
declared_not_admitted	state=0 attempt=0 on 0:0:1 and 0:0:10
expected_seal_sha256	d64c65e5ea27928518eb5a8e59fb8225f72911a15beb71e94edf3202025b4c1e
seal_matches_oracle	true
membership_verified	not measured (java CLI cannot seal an empty batch)
java_jar_sha256	32360ec3dbff58a1581c9b64f8afca32dfe7b6c42c49bf5c43d6fad64d19aa7c
