fault_window	kill between payload staging and admission commit
storage_probe_scope	private-storage-supplementary
object_dir_baseline	files=4 bytes=66141 allocated_blocks=152
object_dir_after_final_restart	files=6 bytes=16843733 allocated_blocks=32936
object_dir_after_cleanup_window	files=6 bytes=16843733 allocated_blocks=32936
restart_cleanup	no restart-time cleanup observed (16843733 -> 16843733); rust operator command: none in the v2 CLI (collect_payload_orphans is library-only, not run by serve startup)
object_dir_final	files=6 bytes=70708 allocated_blocks=176
reclaim	orphan bytes reclaimed during subsequent store operations (16843733 -> 70708)
capacity_after_kills	liveness admission succeeded
committed_untouched	known-good result byte-exact after every restart
