server_subject	java
java_jar_sha256	6f028be764810386da92948dddcbd085893821f5580e44a821bbe59400f46b5f
alice_leaf_sha256	0b003cbaa15ac0afa1a5d1600058027e3183eb93c25391ad947b0bed26bc976a
remap	alice's leaf hash -> owner mallory (map edited between stop and restart)
after_remap_attach	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_retry	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_cancel	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_lookup	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_read	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
refusal_codes_after_remap	UNAUTHORIZED (3)
pre_remap_output_still_valid	true (sha256=e320972bcd0ddc716cf3ae45e1e47a8b4de7a88016906f231087b2985ce20682)
live_connection_recheck	not observable through stop/restart: every connection died with the graceful stop, so only fresh connections are re-evaluated here
